鴇色,ときいろ,#F4B3C2,244,179,194,0
薄柿,うすがき,#D4ACAD,212,172,173,0
聴色・許色,ゆるしいろ,#E1A9AB,225,169,171,0
虹色,にじいろ,#F6BFBC,246,191,188,0
珊瑚色,さんごいろ,#F5B1AA,245,177,170,0
水柿,みずがき,#E4AB9B,228,171,155,0
桃色,ももいろ,#F09199,240,145,153,0
紅梅色,こうばいいろ,#F2A0A1,242,160,161,0
薄紅,うすべに,#F0908D,240,144,141,0
薔薇色,ばらいろ,#E9546B,233,84,107,0
韓紅・韓紅花・唐紅,からくれない,#E95464,233,84,100,0
真朱,まそお,#EC6D71,236,109,113,0
甚三紅,じんざもみ,#EE827C,238,130,124,0
浅緋,うすきあけ・うすきひ,#DF7163,223,113,99,0
珊瑚朱色,さんごしゅいろ,#EE836F,238,131,111,0
真赭,まそほ,#D57C6B,213,124,107,0
鉛丹,えんたん,#EC6D51,236,109,81,0
洗朱,あらいしゅ,#D0826C,208,130,108,0
東雲色,しののめいろ,#F19072,241,144,114,0
濃朽葉,こいくちば,#FF5234,255,82,52,0
粉紅,まがいべに,#FB3C02,251,60,2,0
赤・緋・紅・朱,あか,#E60033,230,0,51,0
海棠色,かいどういろ,#F9204D,249,32,77,0
猩々緋,しょうじょうひ,#E2041B,226,4,27,0
京緋色,きょうひいろ,#FF251E,255,37,30,0
七両染,しちりょうそめ,#C51C2F,197,28,47,0
朱・緋,あけ,#BA2636,186,38,54,0
洋紅色,ようこうしょく,#CC2F3A,204,47,58,0
紅赤,べにあか,#D9333F,217,51,63,0
茜色,あかねいろ,#B7282E,183,40,46,0
赤紅,あかべに,#C53D43,197,61,67,0
朱殷,しゅあん,#D20A13,210,10,19,0
深緋,こきあけ / こきひ,#C9171E,201,23,30,0
朱砂,しゅしゃ,#E73931,231,57,49,0
思色,おもいいろ,#D91E10,217,30,16,0
紅緋,べにひ,#E83929,232,57,41,0
紅,色,#CF3525,207,53,37,0
赤丹,あかに,#CE5242,206,82,66,0
緋色,ひいろ,#D3381C,211,56,28,0
埴,はに・つげ,#B43219,180,50,25,0
似紅,にせべに,#C62B0C,198,43,12,0
赤茶,あかちゃ,#BB5535,187,85,53,0
樺色,かばいろ,#CD5E3C,205,94,60,0
照柿,てりがき,#EB6238,235,98,56,0
浅蘇芳,あさすおう,#A25768,162,87,104,0
今様色,いまよういろ,#D0576B,208,87,107,0
臙脂,えんじ,#B94047,185,64,71,0
赤蘇芳,あかすおう,#B95054,185,80,84,0
蘇芳,すおう,#9E3D3F,158,61,63,0
海老赤,えびあか,#AC2424,172,36,36,0
栗梅茶,くりうめちゃ,#CC5959,204,89,89,0
紅海老茶,べにえびちゃ,#A73836,167,56,54,0
銀朱,ぎんしゅ,#C85554,200,85,84,0
小豆色,あずきいろ,#96514D,150,81,77,0
薬色,くすりいろ,#A03731,160,55,49,0
蘇芳香,すおうこう,#A86965,168,105,101,0
紅海老茶,べにえびちゃ,#91453F,145,69,63,0
銅色,あかがねいろ,#8C4841,140,72,65,0
鳶色・鴟色・鵄色,とびいろ,#95483F,149,72,63,0
紅鳶,べにとび,#9A493F,154,73,63,0
紅樺色,べにかばいろ,#BB5548,187,85,72,0
茶色,ちゃいろ,#965042,150,80,66,0
栗金茶,くりかねちゃ,#B14329,177,67,41,0
